it global_time dt rho m1 m2 m3 e b1 b2 b3 c1 c2 c3 c4 c5 c6 n1 n2 n3 n4 n5 n6 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
      50  3.21216424E-01  7.23912477E-03   9.00000000E+05 -1.03028846E-13 -5.69544412E-13  3.55753838E-19  6.03450521E+05 -5.75548723E-16 -1.00803697E-16  1.81332314E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.36E+05  2.00E+00  1.56E+00  8.22E-03
      52  3.34065081E-01  7.23912453E-03   9.00000000E+05 -1.10134112E-13 -4.26603197E-13  4.17799001E-19  6.03450542E+05 -1.04435774E-16 -1.13908991E-16  1.52573546E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.64E+05  2.00E+00  1.29E+00  6.81E-03
      54  3.46913738E-01  7.23912429E-03   9.00000000E+05 -1.31450247E-13 -4.96463981E-13  4.45327572E-19  6.03450563E+05  2.81323359E-16 -1.26472183E-16  1.18790396E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.71E+05  2.00E+00  1.24E+00  6.53E-03
      56  3.59762395E-01  7.23912406E-03   9.00000000E+05 -1.70530063E-13 -3.99125177E-13  4.06152298E-19  6.03450583E+05  5.99048805E-16 -1.35159353E-16  7.88008638E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.71E+05  2.00E+00  1.24E+00  6.52E-03
      58  3.72611052E-01  7.23912382E-03   9.00000000E+05 -1.98952024E-13 -2.98025493E-13  6.76991083E-19  6.03450604E+05  9.62527584E-16 -1.39713002E-16  3.38616615E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.71E+05  2.00E+00  1.24E+00  6.50E-03
      60  3.85459709E-01  7.23912359E-03   9.00000000E+05 -2.91322633E-13 -2.39530618E-13  8.34750970E-19  6.03450625E+05  1.43149923E-15 -1.41014045E-16 -1.54244236E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.63E+05  2.00E+00  1.31E+00  6.85E-03
      62  3.98308366E-01  7.23912336E-03   9.00000000E+05 -3.12638638E-13 -9.55763246E-14  1.15916459E-18  6.03450646E+05  2.01111371E-15 -1.39699450E-16 -6.89096883E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.70E+05  2.00E+00  1.25E+00  6.53E-03
      64  4.11157023E-01  7.23912313E-03   9.00000000E+05 -4.19220075E-13 -4.13280521E-14  1.03189789E-18  6.03450667E+05  2.64442331E-15 -1.36379081E-16 -1.26551028E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.70E+05  2.00E+00  1.25E+00  6.55E-03
      66  4.24005680E-01  7.23912290E-03   9.00000000E+05 -4.90274671E-13 -2.91433544E-14  9.57994263E-19  6.03450688E+05  3.34668816E-15 -1.30605704E-16 -1.88035895E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.73E+05  2.00E+00  1.23E+00  6.44E-03
      68  4.36854337E-01  7.23912268E-03   9.00000000E+05 -5.32906957E-13 -4.51999549E-14 -3.73414475E-18  6.03450708E+05  4.12457611E-15 -1.23395760E-16 -2.52685035E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.71E+05  2.00E+00  1.24E+00  6.51E-03
