it global_time dt rho m1 m2 m3 e b1 b2 b3 c1 c2 c3 c4 c5 c6 n1 n2 n3 n4 n5 n6 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
      58  3.72611052E-01  7.23914979E-03   9.00000000E+05 -5.75982404E-20  2.55795412E-13 -7.22095588E-19  6.03450000E+05  8.13151629E-19  8.13151629E-20  3.33573514E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.90E+05  2.00E+00  1.12E+00  5.86E-03
      60  3.85459709E-01  7.23914978E-03   9.00000000E+05  4.40457133E-20 -8.13151629E-20 -6.87367237E-19  6.03450000E+05  7.58941521E-19 -1.35525272E-20 -1.57093490E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.77E+05  2.00E+00  1.20E+00  6.30E-03
      62  3.98308366E-01  7.23914977E-03   9.00000000E+05  2.03287907E-20  1.42107463E-14 -6.36121743E-19  6.03450000E+05  9.75781955E-19  4.06575815E-20 -6.89535521E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.81E+05  2.00E+00  1.17E+00  6.14E-03
      64  4.11157023E-01  7.23914976E-03   9.00000000E+05 -5.42101086E-20  2.13161194E-14 -6.05628557E-19  6.03450000E+05  1.27393755E-18  9.48676901E-20 -1.26332678E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.86E+05  2.00E+00  1.14E+00  5.97E-03
      66  4.24005680E-01  7.23914975E-03   9.00000000E+05  5.42101086E-20 -1.63424070E-13 -7.42000862E-19  6.03450000E+05  1.19262239E-18  6.77626358E-20 -1.87536454E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.89E+05  2.00E+00  1.12E+00  5.87E-03
      68  4.36854337E-01  7.23914974E-03   9.00000000E+05 -6.43745040E-20 -2.77110474E-13 -9.61382395E-19  6.03450000E+05  1.24683250E-18  6.77626358E-20 -2.51889787E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.89E+05  2.00E+00  1.12E+00  5.89E-03
      70  4.49702994E-01  7.23914973E-03   9.00000000E+05  4.40457133E-20 -3.55259984E-14 -9.19030748E-19  6.03450000E+05  1.30104261E-18  8.13151629E-20 -3.18696986E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.89E+05  2.00E+00  1.12E+00  5.86E-03
      72  4.62551651E-01  7.23914972E-03   9.00000000E+05 -6.77626358E-21  9.75781955E-19 -1.20193975E-18  6.03450000E+05  2.05998413E-18  1.35525272E-19 -3.87612849E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.92E+05  2.00E+00  1.11E+00  5.78E-03
      74  4.75400308E-01  7.23914971E-03   9.00000000E+05  2.16840434E-19  1.91847189E-13 -1.26800832E-18  6.03450000E+05  1.51788304E-18  1.08420217E-19 -4.58408357E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.50E+05  2.00E+00  1.42E+00  7.39E-03
      76  4.88248965E-01  7.23914970E-03   9.00000000E+05 -7.45388994E-20  1.42116679E-14 -9.25807011E-19  6.03450000E+05  1.68051337E-18  0.00000000E+00 -5.30544146E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.85E+05  2.00E+00  1.14E+00  5.97E-03
